"106年01月01日 至 106年12月31日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"106年06月02日","8070","長華*","159.50","149.50","10.000000","息","164.00","135.00","149.50","149.50","除權息資料","110年第1季","11.25","0.36",
"106年06月05日","3443","創意","106.50","103.00","3.500000","息","113.00","92.70","103.00","103.00","除權息資料","110年第1季","35.73","2.30",
"106年06月05日","8261","富鼎","25.40","24.70","0.700000","息","27.15","22.25","24.70","24.70","除權息資料","110年第1季","21.09","1.40",
"106年06月05日","8454","富邦媒","228.50","220.50","8.000000","息","242.50","198.50","220.50","220.50","除權息資料","110年第1季","54.83","5.57",
"106年06月06日","2809","京城銀","31.35","29.85","1.500000","息","32.80","26.90","29.85","29.85","除權息資料","110年第1季","42.89","2.17",
"106年06月12日","912000","晨訊科-DR","2.63","2.55","0.076640","息","2.80","2.30","2.55","2.55","除權息資料","99年第4季","0.00","0.52",
"106年06月13日","3030","德律","41.60","38.60","3.000000","息","42.45","34.75","38.60","38.60","除權息資料","110年第1季","25.36","1.25",
"106年06月13日","8150","南茂","33.80","32.79","1.000490","息","36.05","29.55","32.80","32.79","除權息資料","110年第1季","29.92","1.32",
"106年06月14日","1598","岱宇","40.40","38.30","2.100000","息","42.10","34.50","38.30","38.30","除權息資料","110年第1季","30.70","2.10",
"106年06月14日","2739","寒舍","40.45","38.25","2.200000","息","42.05","34.45","38.25","38.25","除權息資料","110年第1季","12.80","-0.68",
"106年06月14日","4968","立積","119.00","117.32","1.680000","息","129.00","106.00","117.50","117.32","除權息資料","110年第1季","38.64","4.06",
"106年06月14日","6414","樺漢","391.00","380.88","10.119878","息","418.50","343.00","381.00","380.88","除權息資料","110年第1季","97.85","0.00",
"106年06月14日","6456","GIS-KY","214.00","210.00","4.000000","息","231.00","189.00","210.00","210.00","除權息資料","110年第1季","81.98","0.67",
"106年06月15日","1464","得力","28.30","27.92","0.375451","權","31.10","25.15","28.30","28.30","除權息資料","110年第1季","12.40","0.25",
"106年06月15日","1590","亞德客-KY","315.00","309.63","5.368899","息","340.50","279.00","309.50","309.63","除權息資料","110年第1季","116.55","7.66",
"106年06月15日","3094","聯傑","25.60","24.50","1.100000","息","26.95","22.05","24.50","24.50","除權息資料","110年第1季","12.98","0.21",
"106年06月15日","8467","波力-KY","35.40","33.85","1.540154","息","37.20","30.50","33.85","33.85","除權息資料","110年第1季","27.62","0.31",
"106年06月16日","2359","所羅門","20.40","19.40","1.000000","息","21.30","17.50","19.40","19.40","除權息資料","110年第1季","25.84","0.00",
"106年06月19日","910482","聖馬丁-DR","0.75","0.58","0.168841","權","0.82","0.53","0.75","0.75","除權息資料","97年第4季","0.00","0.25",
"106年06月20日","2017","官田鋼","8.90","8.55","0.350000","息","9.40","7.70","8.55","8.55","除權息資料","110年第1季","12.62","0.48",
"106年06月20日","2408","南亞科","53.70","52.20","1.500000","息","57.40","47.00","52.20","52.20","除權息資料","110年第1季","51.00","0.88",
"106年06月20日","2851","中再保","15.05","14.55","0.500000","息","16.00","13.10","14.55","14.55","除權息資料","110年第1季","24.01","1.32",
"106年06月20日","3416","融程電","61.30","58.30","3.000000","息","64.10","52.50","58.30","58.30","除權息資料","110年第1季","31.71","1.13",
"106年06月20日","5007","三星","54.90","52.40","2.500000","息","57.60","47.20","52.40","52.40","除權息資料","110年第1季","22.08","0.80",
"106年06月21日","6552","易華電","31.25","30.50","0.750000","息","33.55","27.45","30.50","30.50","除權息資料","110年第1季","29.94","0.43",
"106年06月22日","1773","勝一","68.40","64.40","4.000000","息","70.80","58.00","64.40","64.40","除權息資料","110年第1季","34.07","2.10",
"106年06月22日","2327","國巨","111.50","108.50","3.000000","息","119.00","97.70","108.50","108.50","除權息資料","110年第1季","148.77","10.17",
"106年06月22日","2385","群光","81.00","76.75","4.250000","息","84.40","69.10","76.80","76.75","除權息資料","110年第1季","36.94","2.23",
"106年06月22日","2480","敦陽科","31.85","29.75","2.100000","息","32.70","26.80","29.75","29.75","除權息資料","110年第1季","23.68","1.35",
"106年06月22日","2722","夏都","39.75","37.38","2.369048","權息","41.10","33.65","37.40","37.38","除權息資料","110年第1季","16.53","0.07",
"106年06月22日","2748","雲品","73.70","71.20","2.500000","息","78.30","64.10","71.20","71.20","除權息資料","110年第1季","16.85","0.37",
"106年06月22日","2910","統領","28.50","28.00","0.500000","息","30.80","25.20","28.00","28.00","除權息資料","110年第1季","12.95","0.21",
"106年06月22日","5533","皇鼎","15.50","14.85","0.650000","息","16.30","13.40","14.85","14.85","除權息資料","110年第1季","26.47","0.39",
"106年06月22日","6155","鈞寶","20.20","19.35","0.850000","息","21.25","17.45","19.35","19.35","除權息資料","110年第1季","16.56","0.22",
"106年06月22日","6412","群電","66.80","64.04","2.750312","息","70.40","57.70","64.00","64.04","除權息資料","110年第1季","22.16","1.49",
"106年06月23日","2015","豐興","53.50","50.50","3.000000","息","55.50","45.45","50.50","50.50","除權息資料","110年第1季","35.01","1.16",
"106年06月23日","2467","志聖","19.20","18.70","0.500000","息","20.55","16.85","18.70","18.70","除權息資料","110年第1季","18.00","1.01",
"106年06月23日","3669","圓展","22.95","22.07","0.880000","息","24.25","19.90","22.05","22.07","除權息資料","110年第1季","36.58","2.19",
"106年06月23日","9934","成霖","21.10","20.12","0.979248","息","22.10","18.15","20.10","20.12","除權息資料","110年第1季","15.46","0.15",
"106年06月26日","1307","三芳","38.05","35.85","2.200000","息","39.40","32.30","35.85","35.85","除權息資料","110年第1季","19.86","0.51",
"106年06月26日","2032","新鋼","9.96","9.56","0.400000","息","10.50","8.61","9.56","9.56","除權息資料","110年第1季","13.48","0.38",
"106年06月26日","2107","厚生","15.75","15.19","0.553618","息","16.70","13.70","15.20","15.19","除權息資料","110年第1季","33.98","0.63",
"106年06月26日","2330","台積電","217.00","210.00","7.000000","息","231.00","189.00","210.00","210.00","除權息資料","110年第1季","74.77","5.39",
"106年06月26日","2415","錩新","27.70","26.80","0.900000","息","29.45","24.15","26.80","26.80","除權息資料","110年第1季","18.26","0.76",
"106年06月26日","2421","建準","41.10","39.10","2.000000","息","43.00","35.20","39.10","39.10","除權息資料","110年第1季","18.61","0.37",
"106年06月26日","2727","王品","190.50","187.00","3.500000","息","205.50","168.50","187.00","187.00","除權息資料","110年第1季","44.22","1.80",
"106年06月26日","4915","致伸","66.70","64.19","2.500320","息","70.60","57.80","64.20","64.19","除權息資料","110年第1季","30.44","1.13",
"106年06月26日","4977","眾達-KY","105.50","98.72","6.774510","權息","108.50","88.90","98.70","98.72","除權息資料","110年第1季","32.94","0.71",
"106年06月26日","6164","華興","14.35","13.50","0.850000","息","14.85","12.15","13.50","13.50","除權息資料","110年第1季","10.93","-0.04",
"106年06月27日","1592","英瑞-KY","49.50","47.30","2.200000","息","52.00","42.60","47.30","47.30","除權息資料","110年第1季","4.75","-3.54",
"106年06月27日","3305","昇貿","32.05","29.68","2.362699","息","32.60","26.75","29.70","29.68","除權息資料","110年第1季","31.92","1.04",
"106年06月28日","2024","志聯","9.00","8.40","0.600000","息","9.24","7.56","8.40","8.40","除權息資料","110年第1季","11.94","0.28",
"106年06月28日","2433","互盛電","44.20","41.50","2.700000","息","45.65","37.35","41.50","41.50","除權息資料","110年第1季","30.42","0.61",
"106年06月28日","2820","華票","15.65","14.81","0.840000","息","16.25","13.35","14.80","14.81","除權息資料","110年第1季","19.12","0.40",
"106年06月28日","3040","遠見","52.10","47.10","5.000000","息","51.80","42.40","47.10","47.10","除權息資料","110年第1季","29.39","0.64",
"106年06月28日","3056","總太","21.35","18.85","2.500000","息","20.70","17.00","18.85","18.85","除權息資料","110年第1季","28.41","3.62",
"106年06月28日","4557","永新-KY","84.00","79.00","5.000000","息","86.90","71.10","79.00","79.00","除權息資料","110年第1季","37.47","1.01",
"106年06月28日","6505","台塑化","117.50","111.50","6.000000","息","122.50","100.50","111.50","111.50","除權息資料","110年第1季","34.84","1.88",
"106年06月29日","1310","台苯","24.10","21.90","2.200000","息","24.05","19.75","21.90","21.90","除權息資料","110年第1季","14.41","0.45",
"106年06月29日","1437","勤益控","18.10","17.60","0.500000","息","19.35","15.85","17.60","17.60","除權息資料","110年第1季","31.50","0.67",
"106年06月29日","1451","年興","26.15","24.65","1.500000","息","27.10","22.20","24.65","24.65","除權息資料","110年第1季","38.89","0.33",
"106年06月29日","1612","宏泰","9.69","9.41","0.280000","息","10.35","8.47","9.41","9.41","除權息資料","110年第1季","17.54","0.56",
"106年06月29日","1710","東聯","23.90","23.70","0.200000","息","26.05","21.35","23.70","23.70","除權息資料","110年第1季","14.56","0.64",
"106年06月29日","1711","永光","18.75","18.25","0.500000","息","20.05","16.45","18.25","18.25","除權息資料","110年第1季","15.25","0.22",
"106年06月29日","1733","五鼎","34.15","32.65","1.500000","息","35.90","29.40","32.65","32.65","除權息資料","110年第1季","16.90","0.34",
"106年06月29日","1906","寶隆","27.60","26.10","1.500000","息","28.70","23.50","26.10","26.10","除權息資料","110年第1季","45.71","0.00",
"106年06月29日","2373","震旦行","62.50","59.25","3.250000","息","65.10","53.40","59.30","59.25","除權息資料","110年第1季","35.29","1.15",
"106年06月29日","2867","三商壽","15.70","15.56","0.135817","權","17.25","14.05","15.70","15.70","除權息資料","110年第1季","17.16","0.65",
"106年06月29日","5234","達興材料","46.95","43.95","3.000000","息","48.30","39.60","43.95","43.95","除權息資料","110年第1季","29.81","1.58",
"106年06月29日","6128","上福","42.20","39.40","2.800000","息","43.30","35.50","39.40","39.40","除權息資料","110年第1季","25.17","0.44",
"106年06月29日","6196","帆宣","42.00","39.92","2.074717","息","43.90","35.95","39.90","39.92","除權息資料","110年第1季","34.46","1.11",
"106年06月29日","6283","淳安","60.50","57.14","3.357143","權息","62.80","51.50","57.10","57.14","除權息資料","110年第1季","12.39","-0.18",
"106年06月29日","6464","台數科","127.00","120.19","6.807693","權息","132.00","108.50","120.00","120.19","除權息資料","110年第1季","58.88","2.18",
"106年06月29日","8271","宇瞻","43.00","40.60","2.400000","息","44.65","36.55","40.60","40.60","除權息資料","110年第1季","28.80","1.23",
"106年06月29日","8473","山林水","64.60","61.40","3.200000","息","67.50","55.30","61.40","61.40","除權息資料","110年第1季","42.67","1.08",
"106年06月29日","9943","好樂迪","55.50","51.50","4.000000","息","56.60","46.35","51.50","51.50","除權息資料","110年第1季","28.94","1.31",
"106年06月30日","1439","中和","22.80","22.30","0.500000","息","24.50","20.10","22.30","22.30","除權息資料","110年第1季","24.98","0.33",
"106年06月30日","1568","倉佑","40.20","39.00","1.200000","息","42.90","35.10","39.00","39.00","除權息資料","110年第1季","14.21","-0.02",
"106年06月30日","2362","藍天","27.80","27.08","0.714004","息","29.75","24.40","27.10","27.08","除權息資料","110年第1季","67.49","0.54",
"106年06月30日","2395","研華","243.00","215.19","27.808997","權息","236.50","194.00","215.00","215.19","除權息資料","110年第1季","40.61","2.48",
"106年06月30日","2723","美食-KY","383.00","343.63","39.363637","權息","377.50","309.50","343.50","343.63","除權息資料","110年第1季","60.64","1.40",
"106年06月30日","5525","順天","14.10","13.80","0.300000","息","15.15","12.45","13.80","13.80","除權息資料","110年第1季","17.31","-0.12",
"106年06月30日","9940","信義","33.65","31.66","1.985273","權息","34.80","28.50","31.65","31.66","除權息資料","110年第1季","16.03","0.62",
"106年07月03日","1109","信大","10.40","10.30","0.100000","息","11.30","9.27","10.30","10.30","除權息資料","110年第1季","22.68","0.83",
"106年07月03日","1215","卜蜂","74.60","71.60","3.000000","息","78.70","64.50","71.60","71.60","除權息資料","110年第1季","32.94","1.45",
"106年07月03日","1452","宏益","26.10","24.90","1.200000","息","27.35","22.45","24.90","24.90","除權息資料","110年第1季","20.23","1.01",
"106年07月03日","1560","中砂","76.80","73.80","3.000000","息","81.10","66.50","73.80","73.80","除權息資料","110年第1季","32.45","1.05",
"106年07月03日","2308","台達電","166.50","161.50","5.000000","息","177.50","145.50","161.50","161.50","除權息資料","110年第1季","59.21","2.53",
"106年07月03日","2369","菱生","15.15","14.65","0.500000","息","16.10","13.20","14.65","14.65","除權息資料","110年第1季","13.56","0.29",
"106年07月03日","2409","友達","13.90","13.34","0.560000","息","14.65","12.05","13.35","13.34","除權息資料","110年第1季","20.11","1.25",
"106年07月03日","2425","承啟","17.20","17.05","0.150000","息","18.75","15.35","17.05","17.05","除權息資料","110年第1季","18.70","0.51",
"106年07月03日","2451","創見","102.00","96.00","6.000000","息","105.50","86.40","96.00","96.00","除權息資料","110年第1季","41.68","1.30",
"106年07月03日","2455","全新","61.00","58.46","2.530795","息","64.30","52.70","58.50","58.46","除權息資料","110年第1季","16.91","1.22",
"106年07月03日","2642","宅配通","24.75","24.30","0.450000","息","26.70","21.90","24.30","24.30","除權息資料","110年第1季","23.47","0.64",
"106年07月03日","2731","雄獅","111.00","107.00","4.000000","息","117.50","96.30","107.00","107.00","除權息資料","110年第1季","22.16","-1.63",
"106年07月03日","2881","富邦金","48.45","46.45","2.000000","息","51.00","41.85","46.45","46.45","除權息資料","109年第4季","66.33","8.54",
"106年07月03日","2881A","富邦特","63.80","62.09","1.707213","息","68.20","55.90","62.10","62.09","除權息資料","109年第4季","66.33","8.54",
"106年07月03日","2882","國泰金","50.10","48.10","2.000000","息","52.90","43.30","48.10","48.10","除權息資料","110年第1季","58.07","4.36",
"106年07月03日","2882A","國泰特","63.00","62.85","0.149508","息","69.10","56.60","62.90","62.85","除權息資料","110年第1季","58.07","4.36",
"106年07月03日","3021","鴻名","14.55","13.85","0.700000","息","15.20","12.50","13.85","13.85","除權息資料","110年第1季","12.99","0.36",
"106年07月03日","4551","智伸科","146.50","141.90","4.600000","息","156.00","128.00","142.00","141.90","除權息資料","110年第1季","59.77","3.00",
"106年07月03日","4916","事欣科","33.20","29.27","3.927273","權息","32.15","26.35","29.25","29.27","除權息資料","110年第1季","15.09","0.40",
"106年07月03日","6213","聯茂","44.20","41.70","2.500000","息","45.85","37.55","41.70","41.70","除權息資料","110年第1季","41.96","1.93",
"106年07月03日","910322","康師傅-DR","18.00","17.74","0.254775","息","19.50","16.00","17.75","17.74","除權息資料","97年第4季","0.00","1.53",
"106年07月04日","1262","綠悅-KY","125.50","113.98","11.518182","權息","125.00","103.00","114.00","113.98","除權息資料","108年第2季","61.57","-1.53",
"106年07月04日","1454","台富","8.46","8.16","0.300000","息","8.97","7.35","8.16","8.16","除權息資料","110年第1季","12.78","-0.05",
"106年07月04日","1536","和大","148.00","144.50","3.500000","息","158.50","130.50","144.50","144.50","除權息資料","110年第1季","31.05","0.20",
"106年07月04日","1558","伸興","144.00","134.50","9.500000","息","147.50","121.50","134.50","134.50","除權息資料","110年第1季","87.74","5.42",
"106年07月04日","1615","大山","12.15","11.40","0.750000","息","12.50","10.30","11.40","11.40","除權息資料","110年第1季","17.00","0.36",
"106年07月04日","1731","美吾華","14.35","13.80","0.550000","息","15.15","12.45","13.80","13.80","除權息資料","110年第1季","14.77","0.35",
"106年07月04日","2010","春源","12.05","11.35","0.700000","息","12.45","10.25","11.35","11.35","除權息資料","110年第1季","16.51","0.40",
"106年07月04日","2034","允強","26.20","24.40","1.800000","息","26.80","22.00","24.40","24.40","除權息資料","110年第1季","19.87","0.45",
"106年07月04日","2449","京元電子","31.00","29.20","1.796109","息","32.10","26.30","29.20","29.20","除權息資料","110年第1季","25.22","0.94",
"106年07月04日","2459","敦吉","40.50","37.90","2.600000","息","41.65","34.15","37.90","37.90","除權息資料","110年第1季","40.31","1.18",
"106年07月04日","2483","百容","18.85","17.55","1.300000","息","19.30","15.80","17.55","17.55","除權息資料","110年第1季","21.37","0.08",
"106年07月04日","2612","中航","27.70","27.20","0.500000","息","29.90","24.50","27.20","27.20","除權息資料","110年第1季","50.81","1.12",
"106年07月04日","2906","高林","11.75","11.35","0.400000","息","12.45","10.25","11.35","11.35","除權息資料","110年第1季","14.48","0.05",
"106年07月04日","3006","晶豪科","36.80","35.37","1.425232","息","38.90","31.85","35.35","35.37","除權息資料","110年第1季","32.80","2.30",
"106年07月04日","6215","和椿","13.65","13.15","0.500000","息","14.45","11.85","13.15","13.15","除權息資料","110年第1季","15.51","1.36",
"106年07月04日","6278","台表科","25.05","24.05","1.000000","息","26.45","21.65","24.05","24.05","除權息資料","110年第1季","47.51","1.37",
"106年07月04日","6415","矽力-KY","597.00","592.07","4.924468","息","651.00","533.00","592.00","592.07","除權息資料","110年第1季","206.66","10.69",
"106年07月04日","6525","捷敏-KY","61.10","57.30","3.800000","息","63.00","51.60","57.30","57.30","除權息資料","110年第1季","26.93","1.53",
"106年07月04日","8081","致新","73.00","68.00","5.000000","息","74.80","61.20","68.00","68.00","除權息資料","110年第1季","58.27","4.66",
"106年07月04日","9911","櫻花","36.80","34.30","2.500000","息","37.70","30.90","34.30","34.30","除權息資料","110年第1季","24.20","1.34",
"106年07月05日","1232","大統益","95.50","90.50","5.000000","息","99.50","81.50","90.50","90.50","除權息資料","110年第1季","31.52","3.05",
"106年07月05日","1419","新紡","41.45","40.99","0.456193","息","45.05","36.90","41.00","40.99","除權息資料","110年第1季","30.64","0.22",
"106年07月05日","1504","東元","28.75","27.87","0.880000","息","30.65","25.10","27.85","27.87","除權息資料","110年第1季","33.13","0.53",
"106年07月05日","1507","永大","52.00","49.60","2.400000","息","54.50","44.65","49.60","49.60","除權息資料","110年第1季","29.43","0.53",
"106年07月05日","2031","新光鋼","26.60","24.80","1.800000","息","27.25","22.35","24.80","24.80","除權息資料","110年第1季","27.33","2.00",
"106年07月05日","2832","台產","19.60","18.70","0.900000","息","20.55","16.85","18.70","18.70","除權息資料","110年第1季","26.13","-0.06",
"106年07月05日","2883","開發金","8.80","8.30","0.500000","息","9.13","7.47","8.30","8.30","除權息資料","109年第4季","13.66","0.87",
"106年07月05日","3338","泰碩","31.50","29.30","2.197494","息","32.20","26.40","29.30","29.30","除權息資料","110年第1季","19.21","0.13",
"106年07月05日","3528","安馳","34.75","32.02","2.720298","權息","35.20","28.85","32.00","32.02","除權息資料","110年第1季","21.71","1.20",
"106年07月05日","3607","谷崧","29.30","27.80","1.500000","息","30.55","25.05","27.80","27.80","除權息資料","110年第1季","21.17","-0.48",
"106年07月05日","5225","東科-KY","30.30","29.18","1.115510","息","32.05","26.30","29.20","29.18","除權息資料","110年第1季","17.21","-2.38",
"106年07月05日","6136","富爾特","25.35","23.35","2.000000","息","25.65","21.05","23.35","23.35","除權息資料","110年第1季","23.34","-0.07",
"106年07月05日","6405","悅城","16.90","16.70","0.200000","息","18.35","15.05","16.70","16.70","除權息資料","110年第1季","30.18","0.88",
"106年07月05日","8072","陞泰","20.10","19.60","0.500000","息","21.55","17.65","19.60","19.60","除權息資料","110年第1季","27.12","0.06",
"106年07月05日","9188","精熙-DR","5.13","4.99","0.135870","息","5.48","4.50","4.99","4.99","除權息資料","97年第4季","0.00","0.83",
"106年07月05日","9931","欣高","32.00","30.80","1.200000","息","33.85","27.75","30.80","30.80","除權息資料","110年第1季","20.93","0.67",
"106年07月06日","1326","台化","96.10","90.50","5.600000","息","99.50","81.50","90.50","90.50","除權息資料","110年第1季","62.86","2.20",
"106年07月06日","1445","大宇","8.81","8.51","0.300000","息","9.36","7.66","8.51","8.51","除權息資料","110年第1季","12.07","-0.11",
"106年07月06日","2376","技嘉","41.00","38.40","2.599628","息","42.20","34.60","38.40","38.40","除權息資料","110年第1季","48.39","4.34",
"106年07月06日","2453","凌群","12.65","12.15","0.500000","息","13.35","10.95","12.15","12.15","除權息資料","110年第1季","19.25","0.43",
"106年07月06日","2454","聯發科","265.00","255.50","9.500000","息","281.00","230.00","255.50","255.50","除權息資料","110年第1季","260.17","16.21",
"106年07月06日","2461","光群雷","15.55","14.73","0.815000","息","16.20","13.30","14.75","14.73","除權息資料","110年第1季","16.75","0.75",
"106年07月06日","2597","潤弘","45.45","41.45","4.000000","息","45.55","37.35","41.45","41.45","除權息資料","110年第1季","36.07","2.74",
"106年07月06日","2606","裕民","31.90","31.15","0.750000","息","34.25","28.05","31.15","31.15","除權息資料","110年第1季","28.02","0.41",
"106年07月06日","3019","亞光","53.20","52.20","1.000000","息","57.40","47.00","52.20","52.20","除權息資料","110年第1季","40.86","1.08",
"106年07月06日","3090","日電貿","29.95","27.95","2.000000","息","30.70","25.20","27.95","27.95","除權息資料","110年第1季","24.60","1.25",
"106年07月06日","3596","智易","50.50","46.60","3.900000","息","51.20","41.95","46.60","46.60","除權息資料","110年第1季","51.49","2.20",
"106年07月06日","4144","康聯-KY","42.15","41.15","1.000000","息","45.25","37.05","41.15","41.15","除權息資料","109年第2季","28.57","-0.93",
"106年07月06日","6108","競國","31.35","29.35","2.000000","息","32.25","26.45","29.35","29.35","除權息資料","110年第1季","21.69","0.21",
"106年07月06日","6115","鎰勝","49.05","45.05","3.998807","息","49.55","40.55","45.05","45.05","除權息資料","110年第1季","25.91","0.75",
"106年07月06日","6120","達運","13.45","13.17","0.280000","息","14.45","11.90","13.15","13.17","除權息資料","110年第1季","14.30","-0.52",
"106年07月06日","6605","帝寶","83.70","80.70","3.000000","息","88.70","72.70","80.70","80.70","除權息資料","110年第1季","81.59","1.72",
"106年07月06日","8163","達方","27.70","25.70","2.000000","息","28.25","23.15","25.70","25.70","除權息資料","110年第1季","31.84","0.72",
"106年07月06日","8213","志超","30.90","29.40","1.500000","息","32.30","26.50","29.40","29.40","除權息資料","110年第1季","49.00","1.41",
"106年07月06日","8249","菱光","23.60","22.00","1.600000","息","24.20","19.80","22.00","22.00","除權息資料","110年第1季","28.91","0.31",
"106年07月06日","8463","潤泰材","19.10","18.00","1.100000","息","19.80","16.20","18.00","18.00","除權息資料","110年第1季","16.19","0.18",
"106年07月06日","9802","鈺齊-KY","87.70","84.50","3.194763","息","92.90","76.10","84.50","84.50","除權息資料","110年第1季","45.76","1.75",
"106年07月06日","9904","寶成","42.90","41.40","1.500000","息","45.50","37.30","41.40","41.40","除權息資料","110年第1季","41.37","2.13",
"106年07月06日","9910","豐泰","140.50","135.30","5.200000","息","148.50","122.00","135.50","135.30","除權息資料","110年第1季","21.52","1.86",
"106年07月07日","1220","台榮","11.00","10.35","0.650000","息","11.35","9.32","10.35","10.35","除權息資料","110年第1季","13.74","0.37",
"106年07月07日","1727","中華化","13.20","12.60","0.600000","息","13.85","11.35","12.60","12.60","除權息資料","110年第1季","12.09","0.35",
"106年07月07日","1776","展宇","22.70","21.10","1.600000","息","23.20","19.00","21.10","21.10","除權息資料","110年第1季","14.28","0.30",
"106年07月07日","2850","新產","26.90","25.39","1.510000","息","27.90","22.90","25.40","25.39","除權息資料","110年第1季","43.99","1.49",
"106年07月07日","2856","元富證","8.25","8.15","0.100000","息","8.96","7.34","8.15","8.15","除權息資料","110年第1季","16.83","0.56",
"106年07月07日","3653","健策","76.00","74.00","2.000000","息","81.40","66.60","74.00","74.00","除權息資料","110年第1季","54.83","1.79",
"106年07月07日","3706","神達","38.40","35.90","2.497120","息","39.45","32.35","35.90","35.90","除權息資料","110年第1季","36.03","0.57",
"106年07月07日","4952","凌通","40.15","36.65","3.500000","息","40.30","33.00","36.65","36.65","除權息資料","110年第1季","20.24","0.89",
"106年07月07日","4958","臻鼎-KY","71.60","69.40","2.200000","息","76.30","62.50","69.40","69.40","除權息資料","110年第1季","78.94","1.00",
"106年07月07日","6192","巨路","58.40","56.40","2.000000","息","62.00","50.80","56.40","56.40","除權息資料","110年第1季","47.02","1.62",
"106年07月07日","6451","訊芯-KY","108.50","103.10","5.400000","息","113.00","92.80","103.00","103.10","除權息資料","110年第1季","60.10","2.16",
"106年07月07日","8016","矽創","95.30","89.30","6.000000","息","98.20","80.40","89.30","89.30","除權息資料","110年第1季","54.58","6.55",
"106年07月07日","8442","威宏-KY","55.10","52.90","2.200000","息","58.10","47.65","52.90","52.90","除權息資料","110年第1季","26.82","-0.75",
"106年07月10日","1236","宏亞","17.00","16.70","0.300000","息","18.35","15.05","16.70","16.70","除權息資料","110年第1季","15.29","0.57",
